epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_precision,val_recall,val_f1
1,0.9003466837746756,0.6217857142857143,0.44845933602614835,0.7578571428571429,0.9372608187134503,0.7388584831899921,0.9947368421052631,0.847913862718708
2,0.3240545361382621,0.8567857142857143,0.2483496218919754,0.9135714285714286,0.9745941520467837,0.9530054644808743,0.9178947368421052,0.9351206434316354
3,0.21539319097995757,0.915,0.18968126364052296,0.9185714285714286,0.9824748538011696,0.9003831417624522,0.9894736842105263,0.9428284854563691
4,0.19947269463113376,0.9217857142857143,0.1786338873207569,0.9257142857142857,0.9866058479532165,0.9774266365688488,0.911578947368421,0.9433551198257081
5,0.18603361429912704,0.925,0.15158312158151108,0.94,0.9874269005847953,0.933,0.9821052631578947,0.9569230769230769
6,0.17331660416509423,0.9328571428571428,0.1599337789653377,0.9307142857142857,0.9880654970760235,0.916911045943304,0.9873684210526316,0.9508362899138368
7,0.1733760445884296,0.9319642857142857,0.12885635151443156,0.9535714285714286,0.9888233918128655,0.9566563467492261,0.9757894736842105,0.9661281917665451
8,0.15631878611232553,0.93875,0.15294176797297868,0.9514285714285714,0.988166081871345,0.9803921568627451,0.9473684210526315,0.9635974304068522
9,0.1519427928222077,0.9394642857142858,0.1374197217466479,0.9414285714285714,0.9897473684210525,0.9322709163346613,0.9852631578947368,0.9580348004094166
10,0.16251427258763995,0.935,0.11874890759248626,0.9671428571428572,0.9915812865497076,0.9747899159663865,0.9768421052631578,0.9758149316508938
11,0.15688831495387215,0.9389285714285714,0.19238236034289002,0.9185714285714286,0.9882923976608187,0.9034749034749034,0.9852631578947368,0.9425981873111783
12,0.15565072687608855,0.9369642857142857,0.11991661355238069,0.9642857142857143,0.9903789473684209,0.9766949152542372,0.9705263157894737,0.9736008447729673
13,0.1552662029010909,0.9394642857142858,0.1330538159236312,0.9571428571428572,0.9918269005847954,0.982646420824295,0.9536842105263158,0.967948717948718
14,0.16275501796177455,0.9376785714285715,0.12431286326186224,0.95,0.9905473684210526,0.9453441295546559,0.9831578947368421,0.9638802889576883
15,0.14742256470024587,0.9396428571428571,0.1291914569552649,0.9621428571428572,0.9915111111111111,0.9859154929577465,0.9578947368421052,0.9717031500266952
16,0.15480980958257404,0.9353571428571429,0.13085562464865771,0.9435714285714286,0.9903345029239766,0.9359359359359359,0.9842105263157894,0.9594663930220626
17,0.12754982360771724,0.9496428571428571,0.10118524852970784,0.9657142857142857,0.9931415204678362,0.9659090909090909,0.9842105263157894,0.9749739311783108
18,0.11693995265556233,0.9539285714285715,0.10046563432975249,0.9614285714285714,0.9928912280701755,0.9647302904564315,0.9789473684210527,0.9717868338557993
19,0.12734387536666222,0.9482142857142857,0.10290764623575589,0.965,0.993153216374269,0.9697601668404588,0.9789473684210527,0.9743321110529073
20,0.11594570433454854,0.9591071428571428,0.09839863275093111,0.9671428571428572,0.9933005847953217,0.9788135593220338,0.9726315789473684,0.9757127771911299
21,0.11284347385168075,0.9532142857142857,0.090865115232935,0.9692857142857143,0.9937403508771929,0.9768664563617245,0.9778947368421053,0.9773803261441346
22,0.11766908940460001,0.9521428571428572,0.09816994886337356,0.9571428571428572,0.993459649122807,0.9578189300411523,0.98,0.9687825182101977
23,0.11448548829449075,0.9564285714285714,0.10395280127836899,0.9571428571428572,0.9936444444444444,0.986870897155361,0.9494736842105264,0.9678111587982833
24,0.11535114311214004,0.9544642857142858,0.09218599935146896,0.9692857142857143,0.9941543859649123,0.9768664563617245,0.9778947368421053,0.9773803261441346
25,0.12712897263467313,0.9516071428571429,0.08925519426437942,0.9678571428571429,0.9943181286549707,0.983957219251337,0.968421052631579,0.9761273209549072
26,0.11209516003727912,0.95625,0.09170637290332127,0.965,0.9945122807017545,0.9649122807017544,0.9842105263157894,0.9744658676393955
27,0.11195952273905277,0.9564285714285714,0.11284196963110431,0.9507142857142857,0.9951508771929825,0.9383084577114428,0.9926315789473684,0.9647058823529412
28,0.10815895496734551,0.9566071428571429,0.08189917004413226,0.97,0.9956982456140351,0.9819532908704883,0.9736842105263158,0.9778012684989429
29,0.09917849993067128,0.9632142857142857,0.09005938440730626,0.9685714285714285,0.9951134502923976,0.9708939708939709,0.9831578947368421,0.9769874476987448
30,0.0980130028298923,0.9619642857142857,0.10130214919759468,0.9642857142857143,0.9945099415204677,0.9891304347826086,0.9578947368421052,0.9732620320855615
31,0.10776293855160475,0.9582142857142857,0.08708504248749126,0.9685714285714285,0.9951251461988303,0.9728601252609603,0.9810526315789474,0.9769392033542977
32,0.10148513725293534,0.9585714285714285,0.0866955932314423,0.9671428571428572,0.9952608187134503,0.9757894736842105,0.9757894736842105,0.9757894736842105
33,0.09751790594841753,0.9617857142857142,0.0739871271758933,0.9721428571428572,0.9960374269005847,0.9789695057833859,0.98,0.979484481851657
34,0.10293496936027492,0.9598214285714286,0.09134270362979309,0.9621428571428572,0.9958923976608187,0.9525731584258325,0.9936842105263158,0.9726944873776404
35,0.10228469248861075,0.9623214285714285,0.07742582208646293,0.975,0.9953263157894736,0.987220447284345,0.9757894736842105,0.9814716781365802
36,0.09868549616741283,0.9616071428571429,0.07916070749475197,0.9714285714285714,0.9957403508771929,0.972972972972973,0.9852631578947368,0.9790794979079498
37,0.10456475729122758,0.9591071428571428,0.07827182376587932,0.9728571428571429,0.9953871345029239,0.9851063829787234,0.9747368421052631,0.9798941798941799
38,0.11169352125908648,0.9530357142857143,0.08602923671291633,0.9664285714285714,0.9954994152046782,0.9659442724458205,0.9852631578947368,0.9755080771235018
